ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
12654	521	another person	Bana	Bana	pje³¹na³¹³	pje³¹na³¹³	p j e ³¹ + n a ³¹³			26.265147	110.096902	
12656	521	another person	EasternXiangxi	Xiangxi, East	pje⁵³nen³¹	pje⁵³nen³¹	p j e ⁵³ + n e n ³¹	east2371		28.124036	109.890473	
12657	521	another person	WesternXiangxi	Xiangxi, West	ne³¹	ne³¹	n e ³¹	west2430		28.33212	109.422366	
12660	521	another person	ZaoMin	Zao Min	na⁴⁴men⁵³ko⁴⁴	na⁴⁴men⁵³ko⁴⁴	n a ⁴⁴ + m e n ⁵³ + k o ⁴⁴	dzao1238		24.612303	112.266749	
12663	521	another person	Chuanqiandian	Chuanqiandian	la¹³	la¹³	l a ¹³	chua1256		27.51846	105.421028	
12665	521	another person	Younuo	Younuo	pjoŋ²¹no¹³	pjoŋ²¹no¹³	p j o ŋ ²¹ + n o ¹³	youn1235		25.730893	110.115975	
12666	521	another person	BiaoMin	Biao Min	tsan⁴²tau³¹	tsan⁴²tau³¹	ts a n ⁴² + t au ³¹	biao1254		25.82286	111.29622	
12667	521	another person	EasternLuobuohe	Luobuohe, Eastern	qo⁰⁵la²⁴	qo⁰⁵la²⁴	q o ⁰/⁵ + l a ²⁴	luop1235		26.63966	107.913354	
12668	521	another person	WesternLuobuohe	Luobuohe, Western	nɑ³¹ne³¹pi⁵⁵	nɑ³¹ne³¹pi⁵⁵	n ɑ ³¹ + n e ³¹ + p i ⁵⁵	luop1235		26.854607	107.226676	
12670	521	another person	EasternQiandong	Qiandong, East	no¹³lei²²	no¹³lei²²	n o ¹³ + l ei ²²	east2370		27.78098	110.499463	
12671	521	another person	Numao	Numao	mpa³³	mpa³³	ⁿp a ³³	numa1251		25.447767	108.064732	
12672	521	another person	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	qə⁰²la³¹	qə⁰²la³¹	q ə ⁰/² + l a ³¹	nort2749		26.231562	106.861969	
4709	193	ant	WesternQiandong	Qiandong, West	kæ̃⁴⁴mjɔ²²	kæ̃⁴⁴mjɔ²²	k æ̃ ⁴⁴ + m j ɔ ²²		587	26.43106	107.68758	
4710	193	ant	EasternBahen	Baheng, East	mpʰje³¹³	mpʰje³¹³	ⁿpʰ j e ³¹³	pahn1237	587	27.11733	111.02615	
4711	193	ant	WesternBaheng	Baheng, West	qa⁰³ȵ̥ei³¹	qa⁰³ȵ̥ei³¹	q a ⁰/³ + ȵ̥ ei ³¹	pahn1237	587	25.74971	109.286281	
4713	193	ant	Bana	Bana	bje⁴⁴	bje⁴⁴	b j e ⁴⁴		587	26.265147	110.096902	
4715	193	ant	EasternXiangxi	Xiangxi, East	ma⁵³ȵaŋ³¹tsɿ¹³	ma⁵³ȵaŋ³¹tsɿ¹³	m a ⁵³ + ȵ a ŋ ³¹ + ts ɿ ¹³	east2371	587	28.124036	109.890473	
4716	193	ant	WesternXiangxi	Xiangxi, West	tɑ³⁵mpʰa⁴⁴	tɑ³⁵mpʰa⁴⁴	t ɑ ³⁵ + ⁿpʰ a ⁴⁴	west2430	587	28.33212	109.422366	
4719	193	ant	ZaoMin	Zao Min	ʑu²⁴	ʑu²⁴	ʑ u ²⁴	dzao1238	587	24.612303	112.266749	
4722	193	ant	Chuanqiandian	Chuanqiandian	ntʂou²⁴	ntʂou²⁴	ⁿtʂ ɔ ²⁴	chua1256	587	27.51846	105.421028	
4724	193	ant	Younuo	Younuo	kan⁴⁴pʰe³³	kan⁴⁴pʰe³³	k a n ⁴⁴ + pʰ e ³³	youn1235	587	25.730893	110.115975	
4725	193	ant	BiaoMin	Biao Min	sau³⁵	sau³⁵	s au ³⁵	biao1254	587	25.82286	111.29622	
4726	193	ant	EasternLuobuohe	Luobuohe, Eastern	tɕin³¹mby³³	tɕin³¹mby³³	tɕ i n ³¹ + ⁿb y ³³	luop1235	587	26.63966	107.913354	
4727	193	ant	WesternLuobuohe	Luobuohe, Western	tɕin³¹mbø⁵⁵	tɕin³¹mbø⁵⁵	tɕ i n ³¹ + ⁿb ø ⁵⁵	luop1235	587	26.854607	107.226676	
4730	193	ant	Numao	Numao	tuŋ³³pʰai¹³	tuŋ³³pʰai¹³	t u ŋ ³³ + pʰ ai ¹³	numa1251	587	25.447767	108.064732	
4731	193	ant	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	ku³¹mpla²²	ku³¹mpla²²	k u ³¹ + ⁿp l a ²²	nort2749	587	26.231562	106.861969	
4729	193	ant	EasternQiandong	Qiandong, East	kan²⁴pʰen³³	kan²⁴pʰen³³	k a n ²⁴ + pʰ e n ³³	east2370	587	27.78098	110.499463	
8665	357	arrow	WesternQiandong	Qiandong, West	sʰei⁴⁴	sʰei⁴⁴	sʰ ei ⁴⁴		977	26.43106	107.68758	
8666	357	arrow	EasternBahen	Baheng, East	mpʰje³¹³	mpʰje³¹³	ⁿpʰ j e ³¹³	pahn1237	977	27.11733	111.02615	
8667	357	arrow	WesternBaheng	Baheng, West	n̥ei³¹	n̥ei³¹	n̥ ei ³¹	pahn1237	977	25.74971	109.286281	
8669	357	arrow	Bana	Bana	tsjen⁵⁵	tsjen⁵⁵	ts j e n ⁵⁵		977	26.265147	110.096902	
8671	357	arrow	EasternXiangxi	Xiangxi, East	tɕan³³	tɕan³³	tɕ a n ³³	east2371	977	28.124036	109.890473	
8672	357	arrow	WesternXiangxi	Xiangxi, West	ʔo⁴⁴	ʔo⁴⁴	ʔ o ⁴⁴	west2430	977	28.33212	109.422366	
8675	357	arrow	ZaoMin	Zao Min	ten⁴²	ten⁴²	t e n ⁴²	dzao1238	977	24.612303	112.266749	
8678	357	arrow	Chuanqiandian	Chuanqiandian	vo⁴³	vo⁴³	v o ⁴³	chua1256	977	27.51846	105.421028	
8680	357	arrow	Younuo	Younuo	tsjen¹³	tsjen¹³	ts j e n ¹³	youn1235	977	25.730893	110.115975	
8681	357	arrow	BiaoMin	Biao Min	tsun²⁴	tsun²⁴	ts u n ²⁴	biao1254	977	25.82286	111.29622	
8682	357	arrow	EasternLuobuohe	Luobuohe, Eastern	na⁵⁵	na⁵⁵	n a ⁵⁵	luop1235	977	26.63966	107.913354	
