Grapheme	IPA	Template	Note
mp			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Mao'ao Qibainong Yaolu Longhua
mpʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Mao'ao Qibainong Yaolu Longhua
mpʰj			Shibanqiao Gaozhai Du’an Mao'ao Qibainong
mpʰl			Shibanqiao Gaozhai Pingbian Gaopo
mpj			Shibanqiao Gaozhai Zongdi Mao'ao Qibainong Yaolu Longhua
mpl			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Qibainong Longhua
mpɭ			Zongdi
mpz			Shibanqiao
mpʐ			Zongdi
mtsʰ			Shibanqiao
mʐ			Zongdi
n			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
n̥			Gaozhai Gaopo Shimenpo Du’an Xiaozhang Yaogao Gundong Mao'ao Qibainong Yaolu Longhua Longding Shuanglong
nd			Shibanqiao Gaozhai Shimenpo
ndɦ			Shimenpo
ndl			Shimenpo
ndlɦ			Shimenpo
ndz			Shibanqiao Gaozhai Shimenpo
ndzɦ			Shimenpo
nɖ			Gaozhai
n̥ʰ			Kailitang
n̥ʰj			Kailitang
nɦ			Shimenpo
nj			Kailitang Caidiwan Yaogao Heba Gundong Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
n̥j			Yaogao Yaolu Shuanglong
nsʰ			Gaopo
nt			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Mao'ao Qibainong Yaolu Longhua
ntʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Mao'ao Qibainong Yaolu Longhua
ntʰj			Mao'ao Yaolu Longhua
ntj			Du’an Mao'ao Yaolu Longhua
ntɬ			Pingbian Gaopo Shimenpo Qibainong
ntɬʰ			Shimenpo
nts			Shibanqiao Gaozhai Pingbian Zongdi Shimenpo Du’an Mao'ao Qibainong Yaolu
ntsʰ			Gaozhai Pingbian Shimenpo Du’an Mao'ao Qibainong Yaolu
ntʂ			Pingbian Gaopo
ntʂʰ			Pingbian Gaopo
ntʃ			Longhua
ntʃʰ			Longhua
ntθ			Qibainong
ntθʰ			Qibainong
nʈ			Gaozhai Pingbian Qibainong
nʈʰ			Gaozhai Pingbian Qibainong
nz			Gaopo
ɳ			Shibanqiao Zongdi Shimenpo Du’an
ɳdʐ			Shimenpo
ɳdʐɦ			Shimenpo
ɳɖ			Shibanqiao Shimenpo
ɳɖɦ			Shimenpo
ɳɦ			Shimenpo
ɳtʂ			Shimenpo
ɳtʂʰ			Shimenpo
ɳʈ			Shibanqiao Zongdi Shimenpo Du’an
ɳʈʰ			Shibanqiao Shimenpo Du’an
ȵ			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Yaogao Gundong Mao'ao Qibainong Xishan Yaolu Bana Longding Yanyuan Shuanglong Youling
ȵ̥			Gaozhai Gaopo Shimenpo Xiaozhang Yaogao Gundong Qibainong Yaolu Longding Shuanglong
ȵdʑ			Shibanqiao Gaozhai Shimenpo
ȵdʑɦ			Shimenpo
ȵɦ			Shimenpo
ȵtɕ			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Mao'ao Qibainong Yaolu
ȵtɕʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Mao'ao Qibainong Yaolu
ŋ			Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
ŋ̥			Shimenpo Du’an Yaogao Gundong Mao'ao Qibainong Yaolu Younuo Longhua Longding Shuanglong Youling
ŋg			Gaozhai Shimenpo
ŋgɦ			Shimenpo
ŋɢ			Shibanqiao Gaozhai Shimenpo
ŋɢɦ			Shimenpo
ŋɢl			Shibanqiao Gaozhai
ŋɢw			Shibanqiao Gaozhai
ŋɦ			Shimenpo
ŋi			Younuo
ŋj			Xiashuicun Longhua Yanyuan
ŋ̥j			Longhua
ŋk			Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Mao'ao Qibainong Yaolu Longhua
ŋkʰ			Gaozhai Pingbian Gaopo Shimenpo Du’an Mao'ao Qibainong Yaolu Longhua
ŋkʰj			Longhua
ŋkj			Qibainong Yaolu Longhua
ŋkw			Zongdi Mao'ao Qibainong Yaolu Longhua
ŋq			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Mao'ao
ŋqʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Mao'ao
ŋql			Shibanqiao
ŋqw			Shibanqiao Du’an
ŋw			Du’an Yaogao Mao'ao Qibainong Longding Yanyuan
o			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Longhua Longding Yanyuan Youling
õ			Gaopo
ø			Gaozhai Yaolu
oːi			Longding Yanyuan
oːk			Yanyuan
oːm			Longding Yanyuan
oːn			Longding Yanyuan
oːŋ			Longding Yanyuan
oːp			Longding Yanyuan
oːt			Longding Yanyuan
oːu			Yanyuan
øe			Yaolu
oi			Heba Xishan Younuo Longding Yanyuan Youling
ok			Xishan Yanyuan
om			Longding Yanyuan Youling
on			Xishan Bana Younuo Longding Yanyuan Youling
oŋ			Gaozhai Pingbian Zongdi Yaogao Gundong Qibainong Xishan Younuo Longding Yanyuan Youling
op			Longding Yanyuan Youling
ot			Xishan Longhua Longding Yanyuan
ou			Pingbian Caidiwan Yaolu Longding Yanyuan Youling
ɔ			Zongdi Kailitang Yaogao Heba Gundong Qibainong Xiashuicun Shuanglong
ɔi			Shuanglong
ɔk			Xiashuicun
ɔn			Xiashuicun Shuanglong
ɔŋ			Xiashuicun Shuanglong
ɔt			Shuanglong
p			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
pʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
pʰj			Shibanqiao Du’an Xiaozhang Heba Mao'ao Qibainong Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
pʰl			Shibanqiao Gaozhai Pingbian Gaopo Qibainong Longhua Yanyuan Shuanglong
pʰz			Shibanqiao
pj			Shibanqiao Gaozhai Zongdi Du’an Xiaozhang Heba Mao'ao Qibainong Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
pl			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Qibainong Longhua Yanyuan Shuanglong
pɭ			Zongdi
pz			Shibanqiao
pʐ			Zongdi
q			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao
qʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao
qʰl			Shibanqiao Gaozhai
qʰɹ			Shibanqiao
qʰw			Du’an
ql			Shibanqiao Gaozhai
qɹ			Shibanqiao
qw			Shibanqiao Gaozhai Du’an Xiaozhang
qwʰ			Shibanqiao Gaozhai
ɿ			Shibanqiao Gaozhai Xiaozhang Mao'ao Xishan Bana Younuo Longhua Longding Shuanglong
ʁ			Shibanqiao Gaozhai
ʁl			Shibanqiao Gaozhai
ʁɹ			Shibanqiao
ʁw			Shibanqiao Gaozhai
s			Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longding Shuanglong Youling
sʰ			Gaopo Kailitang Heba
sj			Bana Younuo Xiashuicun Longding Youling
ʂ			Shibanqiao Pingbian Gaopo Zongdi Shimenpo Du’an Qibainong
ʃ			Longhua Yanyuan
t			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
tɕ			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Longding Shuanglong
tɕʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Longding Shuanglong
tʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
tʰj			Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
tj			Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
tɬ			Pingbian Gaopo Shimenpo Yaogao Qibainong Bana
tɬʰ			Pingbian Gaopo Shimenpo Qibainong Bana
tɬʰj			Bana
tɬj			Yaogao Bana
