ID	ENGLISH	REFLEXES	TBL	CONCEPTICON
454	tomorrow	20	0742	1329
455	the tongue	18	0139	1205
456	the tooth (front)	18	0137	1380
457	the tree	24	0372	906
458	the trunk (of a tree)	24	0373	344
459	turn over (on bed) (v.)	12		
460	twenty	26	0816	1710
461	twist (a towel) (v.)	12		
462	two	22	0798	1498
463	understand (v.)	10		
464	the urine	22	0152	1142
465	use or lean on (a walking stic (v.)	8		
466	the valley	20	0025	921
467	the village	18	0066	930
468	to vomit	22	1535	1278
469	to wait	22	1264	1590
470	wake up (v.)	11		
471	to walk	20	1815	1443
472	the wall	24	0510	933
473	warm	22	1065	1232
474	to wash	22	1713	1453
475	to watch (over somebody)	18	1469	1650
476	the water	22	0047	948
477	water / sprinkle / irrigate (v.)	9		
478	we [first person plural inclusive]	22	0930	1131
479	to weave (a basket)	22	1157	133
480	the west	26	0706	1817
481	wet	20	1029	1726
482	what	24	0954	1236
483	the wheat	14	0410	1077
484	the wheel	22	0587	710
485	where	18	0955	1237
486	white	18	1006	1335
487	who	22	0953	1235
488	the widow	24	0251	1756
489	the wife	20	0248	1199
490	the willow	28	0382	818
491	the wind	18	0009	960
492	the wing	22	0298	1257
493	to wink	18	1780	1655
494	to winnow	8	1748	2462
495	the winter	24	0794	1471
496	to wipe	18	1163	1454
497	the wolf	24	0324	522
498	the woman	24	0174	962
499	the wood (material)	18	0511	1803
500	the wound	8	0124	1109
501	to yawn	22	1243	1028
502	the year	22	0777	1226
503	yellow	22	1008	1424
504	yesterday	24	0739	1174
505	you [second person plural]	20	0933	1213
506	young	26	1059	1207
